sweep,colormap,param,nMAE,SSIM
quality,hot,75,1.34642831685645,0.8780676925835907
quality,hot,85,1.1965839771859916,0.9057653269535274
quality,hot,95,0.9485525627403455,0.9437042960344145
resolution,hot,256,1.1965839771859916,0.9057653269535274
resolution,hot,192,0.9280742572960805,0.9472540100505694
resolution,hot,128,0.9349466965421143,0.9453256880973153
resolution,hot,96,0.9169013898834462,0.9391620152662409
resolution,hot,64,1.1502732076093893,0.905115007682424
quality,jet,50,1.7644714815911708,0.7099544232359082
quality,jet,65,1.6889965204943187,0.7349161479450647
quality,jet,75,1.6177614104978661,0.7510750040878856
quality,jet,85,1.5140523712551606,0.7749086563061128
quality,jet,95,1.3726319329839898,0.8068327034962448
resolution,jet,256,1.5140523712551606,0.7749086563061128
resolution,jet,192,1.0628979339088767,0.9067032505458986
resolution,jet,128,0.8470397974230989,0.9539812296883402
resolution,jet,96,0.6972382532438574,0.9596861826897668
resolution,jet,64,0.7101144231614519,0.9601862256104003
quality,viridis,50,2.640553930612292,0.6811823684918356
quality,viridis,65,2.2975931658910684,0.7160789038536192
quality,viridis,75,2.2756697387378906,0.7230115315224501
quality,viridis,85,2.109113932367881,0.754130621366759
quality,viridis,95,1.8088441782409785,0.8237102530401319
resolution,viridis,256,2.109113932367881,0.754130621366759
resolution,viridis,192,1.693090664399726,0.8515195825799022
resolution,viridis,128,1.3839315286273715,0.9021161920831622
resolution,viridis,96,1.1879313984439994,0.9288037890681438
resolution,viridis,64,1.1176629844638928,0.957943666606126
quality,copper,50,1.6064762829512513,0.8247970707765708
quality,copper,65,1.3746891899238094,0.859869966740323
quality,copper,75,1.2727922137308434,0.8776843952732781
quality,copper,85,1.22839940005052,0.881598891849361
quality,copper,95,0.9357413535600126,0.9287540610019528
resolution,copper,256,1.22839940005052,0.881598891849361
resolution,copper,192,0.9442488442928724,0.9298556658173228
